date,Exp,DC,Genotype,rep,aveCot,aveLeaf,ExpRep,DC_old
2023.07.28,4,0 CIP,W,1,0,100,4_1,0
2023.07.28,4,0 CIP,A,1,0,100,4_1,0
2023.07.28,4,0 CIP,B,1,0,100,4_1,0
2023.07.28,4,0 CIP,AB,1,0,100,4_1,0
2023.07.28,4,0 CIP,W,2,0,100,4_2,0
2023.07.28,4,0 CIP,A,2,0,100,4_2,0
2023.07.28,4,0 CIP,B,2,0,100,4_2,0
2023.07.28,4,0 CIP,AB,2,0,100,4_2,0
2023.07.28,4,0 CIP,W,3,0,100,4_3,0
2023.07.28,4,0 CIP,A,3,0,100,4_3,0
2023.07.28,4,0 CIP,B,3,0,100,4_3,0
2023.07.28,4,0 CIP,AB,3,0,100,4_3,0
2023.07.28,4,0 CIP,W,4,0,100,4_4,0
2023.07.28,4,0 CIP,A,4,0,100,4_4,0
2023.07.28,4,0 CIP,B,4,0,100,4_4,0
2023.07.28,4,0 CIP,AB,4,0,100,4_4,0
2023.07.28,4,0 CIP,W,5,0,100,4_5,0
2023.07.28,4,0 CIP,A,5,0,100,4_5,0
2023.07.28,4,0 CIP,B,5,0,100,4_5,0
2023.07.28,4,0 CIP,AB,5,0,100,4_5,0
2023.07.28,4,0 CIP,W,6,0,100,4_6,0
2023.07.28,4,0 CIP,A,6,0,100,4_6,0
2023.07.28,4,0 CIP,B,6,0,100,4_6,0
2023.07.28,4,0 CIP,AB,6,0,100,4_6,0
2023.07.28,4,0 CIP,W,7,0,100,4_7,0
2023.07.28,4,0 CIP,A,7,0,100,4_7,0
2023.07.28,4,0 CIP,B,7,0,100,4_7,0
2023.07.28,4,0 CIP,AB,7,0,100,4_7,0
2023.07.28,4,0 CIP,W,8,0,100,4_8,0
2023.07.28,4,0 CIP,A,8,0,100,4_8,0
2023.07.28,4,0 CIP,B,8,0,100,4_8,0
2023.07.28,4,0 CIP,AB,8,0,100,4_8,0
2023.04.26,2,0 CIP,W,1,0,100,2_1,0
2023.04.26,2,0 CIP,A,1,0,100,2_1,0
2023.04.26,2,0 CIP,B,1,0,100,2_1,0
2023.04.26,2,0 CIP,AB,1,0,100,2_1,0
2023.04.26,2,0 CIP,W,2,0,100,2_2,0
2023.04.26,2,0 CIP,A,2,0,100,2_2,0
2023.04.26,2,0 CIP,B,2,0,100,2_2,0
2023.04.26,2,0 CIP,AB,2,0,100,2_2,0
2023.04.26,2,0 CIP,W,3,0,100,2_3,0
2023.04.26,2,0 CIP,A,3,0,100,2_3,0
2023.04.26,2,0 CIP,B,3,0,100,2_3,0
2023.04.26,2,0 CIP,AB,3,0,100,2_3,0
2023.04.26,2,0 CIP,W,4,0,100,2_4,0
2023.04.26,2,0 CIP,A,4,0,100,2_4,0
2023.04.26,2,0 CIP,B,4,0,100,2_4,0
2023.04.26,2,0 CIP,AB,4,0,100,2_4,0
2023.04.26,2,0 CIP,W,5,0,100,2_5,0
2023.04.26,2,0 CIP,A,5,0,100,2_5,0
2023.04.26,2,0 CIP,B,5,0,100,2_5,0
2023.04.26,2,0 CIP,AB,5,0,100,2_5,0
2023.06.21,3,0 CIP,W,1,0,100,3_1,0
2023.06.21,3,0 CIP,W,2,0,100,3_2,0
2023.06.21,3,0 CIP,W,3,5.555555556,94.44444444,3_3,0
2023.06.21,3,0 CIP,W,4,0,100,3_4,0
2023.06.21,3,0 CIP,W,5,0,100,3_5,0
2023.06.21,3,0 CIP,B,1,0,100,3_1,0
2023.06.21,3,0 CIP,B,2,0,100,3_2,0
2023.06.21,3,0 CIP,B,3,0,100,3_3,0
2023.06.21,3,0 CIP,B,4,0,100,3_4,0
2023.06.21,3,0 CIP,B,5,0,100,3_5,0
2023.06.21,3,0 CIP,AB,1,0,100,3_1,0
2023.06.21,3,0 CIP,AB,2,0,100,3_2,0
2023.06.21,3,0 CIP,AB,3,0,100,3_3,0
2023.06.21,3,0 CIP,AB,4,0,100,3_4,0
2023.06.21,3,0 CIP,AB,5,0,100,3_5,0
2023.06.21,3,0 CIP,A,1,0,100,3_1,0
2023.06.21,3,0 CIP,A,2,0,100,3_2,0
2023.06.21,3,0 CIP,A,3,5.555555556,94.44444444,3_3,0
2023.06.21,3,0 CIP,A,4,0,100,3_4,0
2023.06.21,3,0 CIP,A,5,0,100,3_5,0
2023.03.01,1,0 CIP,AB,1,4.347826087,95.65217391,1_1,0
2023.03.01,1,0 CIP,AB,2,16.66666667,83.33333333,1_2,0
2023.03.01,1,0 CIP,AB,3,8.333333333,91.66666667,1_3,0
2023.03.01,1,0 CIP,W,1,17.39130435,82.60869565,1_1,0
2023.03.01,1,0 CIP,W,2,12.5,87.5,1_2,0
2023.03.01,1,0 CIP,W,3,4.166666667,95.83333333,1_3,0
2023.04.26,2,0.25 CIP,W,1,0,100,2_1,25
2023.04.26,2,0.25 CIP,A,1,16.66666667,83.33333333,2_1,25
2023.04.26,2,0.25 CIP,B,1,0,100,2_1,25
2023.04.26,2,0.25 CIP,AB,1,0,100,2_1,25
2023.04.26,2,0.25 CIP,W,2,0,100,2_2,25
2023.04.26,2,0.25 CIP,A,2,0,100,2_2,25
2023.04.26,2,0.25 CIP,B,2,0,100,2_2,25
2023.04.26,2,0.25 CIP,AB,2,0,100,2_2,25
2023.04.26,2,0.25 CIP,W,3,0,100,2_3,25
2023.04.26,2,0.25 CIP,A,3,0,100,2_3,25
2023.04.26,2,0.25 CIP,B,3,0,100,2_3,25
2023.04.26,2,0.25 CIP,AB,3,0,100,2_3,25
2023.04.26,2,0.25 CIP,W,4,0,100,2_4,25
2023.04.26,2,0.25 CIP,A,4,0,100,2_4,25
2023.04.26,2,0.25 CIP,B,4,0,100,2_4,25
2023.04.26,2,0.25 CIP,AB,4,0,100,2_4,25
2023.04.26,2,0.25 CIP,W,5,0,100,2_5,25
2023.04.26,2,0.25 CIP,A,5,0,100,2_5,25
2023.04.26,2,0.25 CIP,B,5,0,100,2_5,25
2023.04.26,2,0.25 CIP,AB,5,0,100,2_5,25
2023.06.21,3,0.25 CIP,W,1,0,100,3_1,25
2023.06.21,3,0.25 CIP,W,2,0,100,3_2,25
2023.06.21,3,0.25 CIP,W,3,0,100,3_3,25
2023.06.21,3,0.25 CIP,W,4,0,100,3_4,25
2023.06.21,3,0.25 CIP,W,5,0,100,3_5,25
2023.06.21,3,0.25 CIP,B,1,0,100,3_1,25
2023.06.21,3,0.25 CIP,B,2,0,100,3_2,25
2023.06.21,3,0.25 CIP,B,3,0,100,3_3,25
2023.06.21,3,0.25 CIP,B,4,0,100,3_4,25
2023.06.21,3,0.25 CIP,B,5,0,100,3_5,25
2023.06.21,3,0.25 CIP,AB,1,5.882352941,94.11764706,3_1,25
2023.06.21,3,0.25 CIP,AB,2,0,100,3_2,25
2023.06.21,3,0.25 CIP,AB,3,0,100,3_3,25
2023.06.21,3,0.25 CIP,AB,4,0,100,3_4,25
2023.06.21,3,0.25 CIP,AB,5,5.882352941,94.11764706,3_5,25
2023.06.21,3,0.25 CIP,A,1,0,100,3_1,25
2023.06.21,3,0.25 CIP,A,2,0,100,3_2,25
2023.06.21,3,0.25 CIP,A,3,0,100,3_3,25
2023.06.21,3,0.25 CIP,A,4,0,100,3_4,25
2023.06.21,3,0.25 CIP,A,5,5.555555556,94.44444444,3_5,25
2023.03.01,1,0.25 CIP,AB,1,16.66666667,83.33333333,1_1,25
2023.03.01,1,0.25 CIP,AB,2,20.83333333,79.16666667,1_2,25
2023.03.01,1,0.25 CIP,AB,3,29.16666667,70.83333333,1_3,25
2023.03.01,1,0.25 CIP,W,1,8.333333333,91.66666667,1_1,25
2023.03.01,1,0.25 CIP,W,2,16.66666667,83.33333333,1_2,25
2023.03.01,1,0.25 CIP,W,3,8.333333333,91.66666667,1_3,25
2023.04.26,2,0.5 CIP,W,1,0,100,2_1,50
2023.04.26,2,0.5 CIP,A,1,0,100,2_1,50
2023.04.26,2,0.5 CIP,B,1,11.11111111,88.88888889,2_1,50
2023.04.26,2,0.5 CIP,AB,1,13.33333333,86.66666667,2_1,50
2023.04.26,2,0.5 CIP,W,2,0,100,2_2,50
2023.04.26,2,0.5 CIP,A,2,5.882352941,94.11764706,2_2,50
2023.04.26,2,0.5 CIP,B,2,0,100,2_2,50
2023.04.26,2,0.5 CIP,AB,2,0,100,2_2,50
2023.04.26,2,0.5 CIP,W,3,22.22222222,77.77777778,2_3,50
2023.04.26,2,0.5 CIP,A,3,29.41176471,70.58823529,2_3,50
2023.04.26,2,0.5 CIP,B,3,11.11111111,88.88888889,2_3,50
2023.04.26,2,0.5 CIP,AB,3,0,100,2_3,50
2023.04.26,2,0.5 CIP,W,4,0,100,2_4,50
2023.04.26,2,0.5 CIP,A,4,27.77777778,72.22222222,2_4,50
2023.04.26,2,0.5 CIP,B,4,0,100,2_4,50
2023.04.26,2,0.5 CIP,AB,4,0,100,2_4,50
2023.04.26,2,0.5 CIP,W,5,0,100,2_5,50
2023.04.26,2,0.5 CIP,A,5,11.11111111,88.88888889,2_5,50
2023.04.26,2,0.5 CIP,B,5,0,100,2_5,50
2023.04.26,2,0.5 CIP,AB,5,0,100,2_5,50
2023.06.21,3,0.5 CIP,W,1,0,100,3_1,50
2023.06.21,3,0.5 CIP,W,2,0,100,3_2,50
2023.06.21,3,0.5 CIP,W,3,11.11111111,88.88888889,3_3,50
2023.06.21,3,0.5 CIP,W,4,0,100,3_4,50
2023.06.21,3,0.5 CIP,W,5,5.555555556,94.44444444,3_5,50
2023.06.21,3,0.5 CIP,B,1,0,100,3_1,50
2023.06.21,3,0.5 CIP,B,2,5.555555556,94.44444444,3_2,50
2023.06.21,3,0.5 CIP,B,3,0,100,3_3,50
2023.06.21,3,0.5 CIP,B,4,0,100,3_4,50
2023.06.21,3,0.5 CIP,B,5,11.11111111,88.88888889,3_5,50
2023.06.21,3,0.5 CIP,AB,1,0,100,3_1,50
2023.06.21,3,0.5 CIP,AB,2,0,100,3_2,50
2023.06.21,3,0.5 CIP,AB,3,0,100,3_3,50
2023.06.21,3,0.5 CIP,AB,4,5.555555556,94.44444444,3_4,50
2023.06.21,3,0.5 CIP,AB,5,0,100,3_5,50
2023.06.21,3,0.5 CIP,A,1,5.555555556,94.44444444,3_1,50
2023.06.21,3,0.5 CIP,A,2,0,100,3_2,50
2023.06.21,3,0.5 CIP,A,3,0,100,3_3,50
2023.06.21,3,0.5 CIP,A,4,5.555555556,94.44444444,3_4,50
2023.06.21,3,0.5 CIP,A,5,0,100,3_5,50
2023.03.01,1,0.5 CIP,AB,1,45.83333333,54.16666667,1_1,50
2023.03.01,1,0.5 CIP,AB,2,58.33333333,41.66666667,1_2,50
2023.03.01,1,0.5 CIP,AB,3,20.83333333,79.16666667,1_3,50
2023.03.01,1,0.5 CIP,W,1,4.347826087,95.65217391,1_1,50
2023.03.01,1,0.5 CIP,W,2,31.81818182,68.18181818,1_2,50
2023.03.01,1,0.5 CIP,W,3,13.04347826,86.95652174,1_3,50
2023.07.28,4,0.75 CIP,W,1,11.11111111,88.88888889,4_1,75
2023.07.28,4,0.75 CIP,A,1,44.44444444,55.55555556,4_1,75
2023.07.28,4,0.75 CIP,B,1,5.882352941,94.11764706,4_1,75
2023.07.28,4,0.75 CIP,AB,1,44.44444444,55.55555556,4_1,75
2023.07.28,4,0.75 CIP,W,2,0,100,4_2,75
2023.07.28,4,0.75 CIP,A,2,11.11111111,88.88888889,4_2,75
2023.07.28,4,0.75 CIP,B,2,11.76470588,88.23529412,4_2,75
2023.07.28,4,0.75 CIP,AB,2,33.33333333,66.66666667,4_2,75
2023.07.28,4,0.75 CIP,W,3,17.64705882,82.35294118,4_3,75
2023.07.28,4,0.75 CIP,A,3,0,100,4_3,75
2023.07.28,4,0.75 CIP,B,3,0,100,4_3,75
2023.07.28,4,0.75 CIP,AB,3,38.88888889,61.11111111,4_3,75
2023.07.28,4,0.75 CIP,W,4,5.882352941,94.11764706,4_4,75
2023.07.28,4,0.75 CIP,A,4,0,100,4_4,75
2023.07.28,4,0.75 CIP,B,4,5.555555556,94.44444444,4_4,75
2023.07.28,4,0.75 CIP,AB,4,56.25,43.75,4_4,75
2023.07.28,4,0.75 CIP,W,5,0,100,4_5,75
2023.07.28,4,0.75 CIP,A,5,22.22222222,77.77777778,4_5,75
2023.07.28,4,0.75 CIP,B,5,0,100,4_5,75
2023.07.28,4,0.75 CIP,AB,5,66.66666667,33.33333333,4_5,75
2023.07.28,4,0.75 CIP,W,6,11.11111111,88.88888889,4_6,75
2023.07.28,4,0.75 CIP,A,6,31.25,68.75,4_6,75
2023.07.28,4,0.75 CIP,B,6,11.76470588,88.23529412,4_6,75
2023.07.28,4,0.75 CIP,AB,6,44.44444444,55.55555556,4_6,75
2023.07.28,4,0.75 CIP,W,7,0,100,4_7,75
2023.07.28,4,0.75 CIP,A,7,0,100,4_7,75
2023.07.28,4,0.75 CIP,B,7,0,100,4_7,75
2023.07.28,4,0.75 CIP,AB,7,11.11111111,88.88888889,4_7,75
2023.07.28,4,0.75 CIP,W,8,23.52941176,76.47058824,4_8,75
2023.07.28,4,0.75 CIP,A,8,11.11111111,88.88888889,4_8,75
2023.07.28,4,0.75 CIP,B,8,0,100,4_8,75
2023.07.28,4,0.75 CIP,AB,8,11.11111111,88.88888889,4_8,75
2023.07.28,4,0.75 CIP,W,9,0,100,4_9,75
2023.07.28,4,0.75 CIP,A,9,0,100,4_9,75
2023.07.28,4,0.75 CIP,B,9,5.555555556,94.44444444,4_9,75
2023.07.28,4,0.75 CIP,AB,9,33.33333333,66.66666667,4_9,75
2023.07.28,4,0.75 CIP,W,10,0,100,4_10,75
2023.07.28,4,0.75 CIP,A,10,23.52941176,76.47058824,4_10,75
2023.07.28,4,0.75 CIP,B,10,16.66666667,83.33333333,4_10,75
2023.07.28,4,0.75 CIP,AB,10,33.33333333,66.66666667,4_10,75
2023.04.26,2,0.75 CIP,W,1,33.33333333,66.66666667,2_1,75
2023.04.26,2,0.75 CIP,A,1,37.5,62.5,2_1,75
2023.04.26,2,0.75 CIP,B,1,11.76470588,88.23529412,2_1,75
2023.04.26,2,0.75 CIP,AB,1,11.11111111,88.88888889,2_1,75
2023.04.26,2,0.75 CIP,W,2,27.77777778,72.22222222,2_2,75
2023.04.26,2,0.75 CIP,A,2,37.5,62.5,2_2,75
2023.04.26,2,0.75 CIP,B,2,0,100,2_2,75
2023.04.26,2,0.75 CIP,AB,2,27.77777778,72.22222222,2_2,75
2023.04.26,2,0.75 CIP,W,3,31.25,68.75,2_3,75
2023.04.26,2,0.75 CIP,A,3,55.55555556,44.44444444,2_3,75
2023.04.26,2,0.75 CIP,B,3,0,100,2_3,75
2023.04.26,2,0.75 CIP,AB,3,33.33333333,66.66666667,2_3,75
2023.04.26,2,0.75 CIP,W,4,38.88888889,61.11111111,2_4,75
2023.04.26,2,0.75 CIP,A,4,5.882352941,94.11764706,2_4,75
2023.04.26,2,0.75 CIP,B,4,11.11111111,88.88888889,2_4,75
2023.04.26,2,0.75 CIP,AB,4,22.22222222,77.77777778,2_4,75
2023.04.26,2,0.75 CIP,W,5,5.263157895,94.73684211,2_5,75
2023.04.26,2,0.75 CIP,A,5,0,100,2_5,75
2023.04.26,2,0.75 CIP,B,5,11.76470588,88.23529412,2_5,75
2023.04.26,2,0.75 CIP,AB,5,22.22222222,77.77777778,2_5,75
2023.06.21,3,0.75 CIP,W,1,17.64705882,82.35294118,3_1,75
2023.06.21,3,0.75 CIP,W,2,5.882352941,94.11764706,3_2,75
2023.06.21,3,0.75 CIP,W,3,11.11111111,88.88888889,3_3,75
2023.06.21,3,0.75 CIP,W,4,0,100,3_4,75
2023.06.21,3,0.75 CIP,W,5,16.66666667,83.33333333,3_5,75
2023.06.21,3,0.75 CIP,B,1,5.555555556,94.44444444,3_1,75
2023.06.21,3,0.75 CIP,B,2,0,100,3_2,75
2023.06.21,3,0.75 CIP,B,3,0,100,3_3,75
2023.06.21,3,0.75 CIP,B,4,0,100,3_4,75
2023.06.21,3,0.75 CIP,B,5,0,100,3_5,75
2023.06.21,3,0.75 CIP,AB,1,27.77777778,72.22222222,3_1,75
2023.06.21,3,0.75 CIP,AB,2,11.11111111,88.88888889,3_2,75
2023.06.21,3,0.75 CIP,AB,3,5.882352941,94.11764706,3_3,75
2023.06.21,3,0.75 CIP,AB,4,0,100,3_4,75
2023.06.21,3,0.75 CIP,AB,5,11.76470588,88.23529412,3_5,75
2023.06.21,3,0.75 CIP,A,1,5.555555556,94.44444444,3_1,75
2023.06.21,3,0.75 CIP,A,2,0,100,3_2,75
2023.06.21,3,0.75 CIP,A,3,5.555555556,94.44444444,3_3,75
2023.06.21,3,0.75 CIP,A,4,0,100,3_4,75
2023.06.21,3,0.75 CIP,A,5,0,100,3_5,75
2023.03.01,1,0.75 CIP,AB,1,58.33333333,41.66666667,1_1,75
2023.03.01,1,0.75 CIP,AB,2,60.86956522,39.13043478,1_2,75
2023.03.01,1,0.75 CIP,AB,3,69.56521739,30.43478261,1_3,75
2023.03.01,1,0.75 CIP,W,1,29.16666667,70.83333333,1_1,75
2023.03.01,1,0.75 CIP,W,2,16.66666667,83.33333333,1_2,75
2023.03.01,1,0.75 CIP,W,3,50,50,1_3,75
2023.04.26,2,1.0 CIP,W,1,22.22222222,77.77777778,2_1,100
2023.04.26,2,1.0 CIP,A,1,73.33333333,26.66666667,2_1,100
2023.04.26,2,1.0 CIP,B,1,5.555555556,94.44444444,2_1,100
2023.04.26,2,1.0 CIP,AB,1,44.44444444,55.55555556,2_1,100
2023.04.26,2,1.0 CIP,W,2,5.555555556,94.44444444,2_2,100
2023.04.26,2,1.0 CIP,A,2,61.11111111,38.88888889,2_2,100
2023.04.26,2,1.0 CIP,B,2,18.75,81.25,2_2,100
2023.04.26,2,1.0 CIP,AB,2,50,50,2_2,100
2023.04.26,2,1.0 CIP,W,3,41.17647059,58.82352941,2_3,100
2023.04.26,2,1.0 CIP,A,3,77.77777778,22.22222222,2_3,100
2023.04.26,2,1.0 CIP,B,3,23.52941176,76.47058824,2_3,100
2023.04.26,2,1.0 CIP,AB,3,33.33333333,66.66666667,2_3,100
2023.04.26,2,1.0 CIP,W,4,25,75,2_4,100
2023.04.26,2,1.0 CIP,A,4,5.555555556,94.44444444,2_4,100
2023.04.26,2,1.0 CIP,B,4,23.52941176,76.47058824,2_4,100
2023.04.26,2,1.0 CIP,AB,4,27.77777778,72.22222222,2_4,100
2023.04.26,2,1.0 CIP,W,5,5.882352941,94.11764706,2_5,100
2023.04.26,2,1.0 CIP,A,5,27.77777778,72.22222222,2_5,100
2023.04.26,2,1.0 CIP,B,5,5.882352941,94.11764706,2_5,100
2023.04.26,2,1.0 CIP,AB,5,41.17647059,58.82352941,2_5,100
2023.06.21,3,1.0 CIP,W,1,50,50,3_1,100
2023.06.21,3,1.0 CIP,W,2,33.33333333,66.66666667,3_2,100
2023.06.21,3,1.0 CIP,W,3,44.44444444,55.55555556,3_3,100
2023.06.21,3,1.0 CIP,W,4,55.55555556,44.44444444,3_4,100
2023.06.21,3,1.0 CIP,W,5,73.68421053,26.31578947,3_5,100
2023.06.21,3,1.0 CIP,B,1,29.41176471,70.58823529,3_1,100
2023.06.21,3,1.0 CIP,B,2,16.66666667,83.33333333,3_2,100
2023.06.21,3,1.0 CIP,B,3,0,100,3_3,100
2023.06.21,3,1.0 CIP,B,4,17.64705882,82.35294118,3_4,100
2023.06.21,3,1.0 CIP,B,5,84.61538462,15.38461538,3_5,100
2023.06.21,3,1.0 CIP,AB,1,33.33333333,66.66666667,3_1,100
2023.06.21,3,1.0 CIP,AB,2,52.94117647,47.05882353,3_2,100
2023.06.21,3,1.0 CIP,AB,3,33.33333333,66.66666667,3_3,100
2023.06.21,3,1.0 CIP,AB,4,23.52941176,76.47058824,3_4,100
2023.06.21,3,1.0 CIP,AB,5,66.66666667,33.33333333,3_5,100
2023.06.21,3,1.0 CIP,A,1,16.66666667,83.33333333,3_1,100
2023.06.21,3,1.0 CIP,A,2,16.66666667,83.33333333,3_2,100
2023.06.21,3,1.0 CIP,A,3,6.25,93.75,3_3,100
2023.06.21,3,1.0 CIP,A,4,27.77777778,72.22222222,3_4,100
2023.06.21,3,1.0 CIP,A,5,55,45,3_5,100
2023.03.01,1,1.0 CIP,AB,1,37.5,62.5,1_1,100
2023.03.01,1,1.0 CIP,AB,2,50,50,1_2,100
2023.03.01,1,1.0 CIP,AB,3,56.52173913,43.47826087,1_3,100
2023.03.01,1,1.0 CIP,W,1,34.7826087,65.2173913,1_1,100
2023.03.01,1,1.0 CIP,W,2,70.83333333,29.16666667,1_2,100
2023.03.01,1,1.0 CIP,W,3,29.16666667,70.83333333,1_3,100