Genotype,F1,F2,plate,Position,Drug,DC,FvFm,Root
A,2,8,1,1,0,A,0.765,49.118
A,2,9,1,2,0,A,0.647,NA
B,2,62,1,3,0,A,0.767,36.95
B,2,69,1,4,0,A,0.768,32.516
BA,2,13,1,5,0,A,0.768,35.112
BA,2,26,1,6,0,A,0.771,29.692
W,2,16,1,7,0,A,0.753,30.233
W,2,41,1,8,0,A,NA,26.309
B,2,62,2,9,0,A,0.771,30.132
B,2,69,2,10,0,A,0.725,12.782
BA,2,13,2,11,0,A,0.751,29.434
BA,2,26,2,12,0,A,0.753,7.935
W,2,16,2,13,0,A,0.768,35.107
W,2,41,2,14,0,A,0.76,38.366
A,2,8,2,15,0,A,0.769,34.619
A,2,9,2,16,0,A,0.764,26.098
BA,2,13,3,17,0,A,0.673,2.961
BA,2,26,3,18,0,A,0.766,34.503
W,2,16,3,19,0,A,0.726,10.635
W,2,41,3,20,0,A,0.76,40.081
A,2,8,3,21,0,A,0.757,38.716
A,2,9,3,22,0,A,0.759,38.582
B,2,62,3,23,0,A,0.76,34.157
B,2,69,3,24,0,A,0.762,36.505
W,2,16,4,25,0,A,0.758,8.713
W,2,41,4,26,0,A,0.768,42.481
A,2,8,4,27,0,A,0.764,31.796
A,2,9,4,28,0,A,0.629,4.736
B,2,62,4,29,0,A,0.759,37.112
B,2,69,4,30,0,A,0.739,24.772
BA,2,13,4,31,0,A,0.75,29.564
BA,2,26,4,32,0,A,0.738,19.663
A,2,8,5,33,0,A,0.804,40.928
A,2,9,5,34,0,A,0.786,28.984
B,2,62,5,35,0,A,0.803,38.834
B,2,69,5,36,0,A,0.795,25.145
BA,2,13,5,37,0,A,0.781,23.919
BA,2,26,5,38,0,A,0.797,45.477
W,2,16,5,39,0,A,0.804,31.358
W,2,41,5,40,0,A,0.626,3.206
A,2,8,6,41,Ethanol,B,0.755,35.984
A,2,9,6,42,Ethanol,B,0.754,29.946
B,2,62,6,43,Ethanol,B,0.755,31.137
B,2,69,6,44,Ethanol,B,0.76,30.818
BA,2,13,6,45,Ethanol,B,0.715,22.117
BA,2,26,6,46,Ethanol,B,0.578,19.357
W,2,16,6,47,Ethanol,B,0.742,22.357
W,2,41,6,48,Ethanol,B,0.772,36.415
B,2,62,7,49,Ethanol,B,0.746,33.824
B,2,69,7,50,Ethanol,B,0.751,12.725
BA,2,13,7,51,Ethanol,B,0.747,48.395
BA,2,26,7,52,Ethanol,B,0.737,28.714
W,2,16,7,53,Ethanol,B,0.733,28.537
W,2,41,7,54,Ethanol,B,0.76,33.044
A,2,8,7,55,Ethanol,B,0.751,32.337
A,2,9,7,56,Ethanol,B,0.759,32.737
BA,2,13,8,57,Ethanol,B,0.568,7.079
BA,2,26,8,58,Ethanol,B,0.621,8.342
W,2,16,8,59,Ethanol,B,0.742,10.605
W,2,41,8,60,Ethanol,B,NA,33.889
A,2,8,8,61,Ethanol,B,0.438,NA
A,2,9,8,62,Ethanol,B,0.742,32.543
B,2,62,8,63,Ethanol,B,0.715,31.926
B,2,69,8,64,Ethanol,B,0.732,27.588
W,2,16,9,65,Ethanol,B,0.778,38.034
W,2,41,9,66,Ethanol,B,0.774,34.286
A,2,8,9,67,Ethanol,B,0.747,34.258
A,2,9,9,68,Ethanol,B,0.76,28.32
B,2,62,9,69,Ethanol,B,0.753,34.035
B,2,69,9,70,Ethanol,B,0.762,35.072
BA,2,13,9,71,Ethanol,B,0.728,23.273
BA,2,26,9,72,Ethanol,B,0.588,3.925
A,2,8,10,73,Ethanol,B,0.749,34.883
A,2,9,10,74,Ethanol,B,0.608,1.87
B,2,62,10,75,Ethanol,B,0.755,33.099
B,2,69,10,76,Ethanol,B,0.754,33.915
BA,2,13,10,77,Ethanol,B,0.742,36.783
BA,2,26,10,78,Ethanol,B,0.747,29.876
W,2,16,10,79,Ethanol,B,0.766,36.163
W,2,41,10,80,Ethanol,B,0.668,18.666
A,2,8,11,81,0.4,C,0.614,28.602
A,2,9,11,82,0.4,C,0.474,7.3
B,2,62,11,83,0.4,C,0.621,27.498
B,2,69,11,84,0.4,C,0.638,25.77
BA,2,13,11,85,0.4,C,0.542,27.326
BA,2,26,11,86,0.4,C,0.536,21.71
W,2,16,11,87,0.4,C,0.715,32.131
W,2,41,11,88,0.4,C,NA,NA
B,2,62,12,89,0.4,C,0.663,28.042
B,2,69,12,90,0.4,C,NA,25.811
BA,2,13,12,91,0.4,C,0.653,22.612
BA,2,26,12,92,0.4,C,0.623,27.017
W,2,16,12,93,0.4,C,0.714,32.622
W,2,41,12,94,0.4,C,0.713,27.949
A,2,8,12,95,0.4,C,0.657,30.862
A,2,9,12,96,0.4,C,0.549,26.716
BA,2,13,13,97,0.4,C,0.595,31.02
BA,2,26,13,98,0.4,C,0.613,28.971
W,2,16,13,99,0.4,C,0.702,29.228
W,2,41,13,100,0.4,C,0.721,32.48
A,2,8,13,101,0.4,C,0.521,27.111
A,2,9,13,102,0.4,C,0.524,3.684
B,2,62,13,103,0.4,C,0.551,12.415
B,2,69,13,104,0.4,C,0.672,26.376
W,2,16,14,105,0.4,C,0.745,37.633
W,2,41,14,106,0.4,C,0.735,34.305
A,2,8,14,107,0.4,C,0.631,29.507
A,2,9,14,108,0.4,C,0.613,30.159
B,2,62,14,109,0.4,C,0.677,32.752
B,2,69,14,110,0.4,C,0.473,14.872
BA,2,13,14,111,0.4,C,0.644,28.298
BA,2,26,14,112,0.4,C,0.717,26.392
A,2,8,15,113,0.4,C,0.525,7.318
A,2,9,15,114,0.4,C,0.604,6.03
B,2,62,15,115,0.4,C,0.647,28.407
B,2,69,15,116,0.4,C,0.712,24.914
BA,2,13,15,117,0.4,C,0.589,23.075
BA,2,26,15,118,0.4,C,0.63,26.918
W,2,16,15,119,0.4,C,0.751,40.481
W,2,41,15,120,0.4,C,0.759,34.438
A,2,8,16,121,2,D,0.385,18.663
A,2,9,16,122,2,D,0.211,14.899
B,2,62,16,123,2,D,0.382,8.004
B,2,69,16,124,2,D,0.337,19.986
BA,2,13,16,125,2,D,0.365,19.242
BA,2,26,16,126,2,D,0.248,14.65
W,2,16,16,127,2,D,0.477,6.192
W,2,41,16,128,2,D,0.596,32.51
B,2,62,17,129,2,D,0.288,4.423
B,2,69,17,130,2,D,0.321,14.758
BA,2,13,17,131,2,D,0.367,1.038
BA,2,26,17,132,2,D,0.416,5.403
W,2,16,17,133,2,D,0.64,33.798
W,2,41,17,134,2,D,0.607,32.539
A,2,8,17,135,2,D,0.231,16.893
A,2,9,17,136,2,D,0.28,23.112
BA,2,13,18,137,2,D,0.319,NA
BA,2,26,18,138,2,D,0.46,20.644
W,2,16,18,139,2,D,0.681,24.909
W,2,41,18,140,2,D,0.631,31.178
A,2,8,18,141,2,D,0.455,21.221
A,2,9,18,142,2,D,0.442,9.558
B,2,62,18,143,2,D,0.417,17.988
B,2,69,18,144,2,D,0.412,11.802
W,2,16,19,145,2,D,0.648,34.919
W,2,41,19,146,2,D,0.642,33.311
A,2,8,19,147,2,D,0.329,4.255
A,2,9,19,148,2,D,0.405,3.408
B,2,62,19,149,2,D,0.374,19.861
B,2,69,19,150,2,D,0.317,12.442
BA,2,13,19,151,2,D,0.432,0.757
BA,2,26,19,152,2,D,0.429,5.784
A,2,8,20,153,2,D,0.31,17.93
A,2,9,20,154,2,D,0.404,4.52
B,2,62,20,155,2,D,0.341,15.194
B,2,69,20,156,2,D,0.337,2.572
BA,2,13,20,157,2,D,0.383,9.213
BA,2,26,20,158,2,D,0.355,12.01
W,2,16,20,159,2,D,0.613,32.557
W,2,41,20,160,2,D,0.539,30.337
A,2,8,21,161,10,E,0,4.84
A,2,9,21,162,10,E,0,4.722
B,2,62,21,163,10,E,0,4.536
B,2,69,21,164,10,E,0,6.431
BA,2,13,21,165,10,E,0,4.354
BA,2,26,21,166,10,E,0,3.154
W,2,16,21,167,10,E,0.243,4.216
W,2,41,21,168,10,E,0.307,7.145
B,2,62,22,169,10,E,0,5.61
B,2,69,22,170,10,E,0,4.52
BA,2,13,22,171,10,E,0,5.199
BA,2,26,22,172,10,E,0,4.343
W,2,16,22,173,10,E,0.275,7.733
W,2,41,22,174,10,E,0.342,6.619
A,2,8,22,175,10,E,0,6.285
A,2,9,22,176,10,E,0,4.878
BA,2,13,23,177,10,E,0,5.334
BA,2,26,23,178,10,E,0,5.155
W,2,16,23,179,10,E,0.222,7.004
W,2,41,23,180,10,E,0.351,7.112
A,2,8,23,181,10,E,0,6.686
A,2,9,23,182,10,E,0,5.782
B,2,62,23,183,10,E,0,6.456
B,2,69,23,184,10,E,0,4.802
W,2,16,24,185,10,E,0.246,7.596
W,2,41,24,186,10,E,0.165,4.761
A,2,8,24,187,10,E,0,6.463
A,2,9,24,188,10,E,0,3.805
B,2,62,24,189,10,E,0,5.936
B,2,69,24,190,10,E,0,4.579
BA,2,13,24,191,10,E,0,4.912
BA,2,26,24,192,10,E,0,4.895
A,2,8,25,193,10,E,0,5.153
A,2,9,25,194,10,E,0,4.722
B,2,62,25,195,10,E,0,5.446
B,2,69,25,196,10,E,0,4.302
BA,2,13,25,197,10,E,0,3.824
BA,2,26,25,198,10,E,0,5.348
W,2,16,25,199,10,E,0.307,10.302
W,2,41,25,200,10,E,0.24,8.088