File,Treatment,Genotype,Rep,same_neg_R1_lower,same_neg_R1_higher,same_pos_R1_lower,same_pos_R1_higher,outward,inward_too_far,same_neg_R1_lower_cut,same_neg_R1_higher_cut,same_pos_R1_lower_cut,same_pos_R1_higher_cut,outward_cut,inward_too_far_cut,MappedPairs
C1_CKDN230028841-1A_HGKLFDSX7_L1.discord.txt,Control,WT,1,846,938,889,887,1699,1691,47,76,70,58,80,32,10323716
C2_CKDN230028842-1A_HGKLFDSX7_L1.discord.txt,Control,mutS2A/B,1,1002,1088,1090,1068,2168,2226,53,57,71,45,83,103,9544205
C3_CKDN230028843-1A_HGKLFDSX7_L1.discord.txt,Cipro,WT,1,1386,1482,1743,1691,5049,2223,363,384,442,397,1112,77,8358376
C4_CKDN230028844-1A_HGKLFDSX7_L1.discord.txt,Cipro,mutS2A/B,1,2564,2573,3049,2932,12784,2881,1042,1044,1009,923,4295,52,9692269
C5_CKDN230028845-1A_HGKLFDSX7_L1.discord.txt,Control,WT,2,943,1001,982,1003,2004,2034,74,81,66,40,112,22,11383094
C6_CKDN230028846-1A_HGKLFDSX7_L1.discord.txt,Control,mutS2A/B,2,946,969,1002,986,2088,2015,57,65,65,68,132,26,11476313
C7_CKDN230028847-1A_HGKLFDSX7_L1.discord.txt,Cipro,WT,2,2226,2256,2657,2569,8367,2988,674,651,799,658,2124,22,9901598
C8_CKDN230028848-1A_HGKLFDSX7_L1.discord.txt,Cipro,mutS2A/B,2,2037,2169,2599,2239,9766,2386,790,880,927,780,3223,14,9086500
C9_CKDN230028849-1A_HGKLFDSX7_L1.discord.txt,Control,WT,3,907,896,973,832,1769,1869,37,67,65,41,73,59,8124697
C10_CKDN230028850-1A_HGKLFDSX7_L1.discord.txt,Control,mutS2A/B,3,738,649,720,676,1376,1363,66,53,65,50,68,18,9662494
C11_CKDN230028851-1A_HGKLFDSX7_L1.discord.txt,Cipro,WT,3,1333,1451,1629,1618,5056,1925,373,429,437,423,1103,37,9571359
C12_CKDN230028852-1A_HGKLFDSX7_L1.discord.txt,Cipro,mutS2A/B,3,1825,1811,2343,2273,8332,2242,635,631,727,696,2512,3,10093951
C17_CKDN230028853-1A_HGKLFDSX7_L1.discord.txt,Control,WT,4,764,814,875,768,1480,1486,36,66,53,20,28,10,10912654
C18_CKDN230028854-1A_HGKLFDSX7_L1.discord.txt,Control,mutS2A/B,4,899,900,905,864,1741,1770,22,48,53,24,30,24,11169446
C19_CKDN230028855-1A_HGKLFDSX7_L1.discord.txt,Cipro,WT,4,1909,2019,2304,2272,7482,2224,657,682,696,647,1704,67,10289545
C20_CKDN230028856-1A_HGKLFDSX7_L1.discord.txt,Cipro,mutS2A/B,4,3467,3556,4482,4344,18793,3942,1407,1494,1574,1407,6462,22,11919686
C21_CKDN230028857-1A_HGKLFDSX7_L1.discord.txt,Control,WT,5,653,671,651,627,1323,1331,30,58,49,46,95,22,8641193
C22_CKDN230028858-1A_HGKLFDSX7_L1.discord.txt,Control,mutS2A/B,5,583,598,518,538,1142,1246,45,54,66,34,102,17,9426766
C23_CKDN230028859-1A_HGKLFDSX7_L1.discord.txt,Cipro,WT,5,1490,1550,1898,1810,6217,1986,595,559,590,580,1754,34,6980755
C24_CKDN230028860-1A_HGKLFDSX7_L1.discord.txt,Cipro,mutS2A/B,5,2418,2550,2692,2720,10871,3073,898,941,818,801,3493,26,6998126